environment,thread count,ok,benchmark,iterations,min [ms],max [ms],avg [ms],stddev [ms],median [ms],p05 [ms],p95 [ms],avg [ms]
jvm,31,[OK],montecarlo.PiMultiThreadBenchmark,5,38.116,70.183,54.201,12.559,53.560,70.183,38.116,54.201
jvm,32,[OK],montecarlo.PiMultiThreadBenchmark,5,35.338,70.982,49.860,12.589,49.181,70.982,35.338,49.860
jvm,33,[OK],montecarlo.PiMultiThreadBenchmark,5,36.710,79.852,54.163,15.811,55.771,79.852,36.710,54.163
jvm,34,[OK],montecarlo.PiMultiThreadBenchmark,5,51.606,70.591,60.779,6.331,60.725,70.591,51.606,60.779
jvm,35,[OK],montecarlo.PiMultiThreadBenchmark,5,43.777,52.517,48.565,3.106,47.938,52.517,43.777,48.565
jvm,36,[OK],montecarlo.PiMultiThreadBenchmark,5,36.774,58.253,45.476,8.059,40.903,58.253,36.774,45.476
jvm,37,[OK],montecarlo.PiMultiThreadBenchmark,5,34.629,58.085,45.034,10.484,40.602,58.085,34.629,45.034
jvm,38,[OK],montecarlo.PiMultiThreadBenchmark,5,37.285,61.657,46.521,8.367,43.872,61.657,37.285,46.521
jvm,39,[OK],montecarlo.PiMultiThreadBenchmark,5,32.541,59.054,45.274,10.638,38.973,59.054,32.541,45.274
jvm,40,[OK],montecarlo.PiMultiThreadBenchmark,5,33.665,71.577,43.347,14.279,36.370,71.577,33.665,43.347
none_gc,1,[OK],montecarlo.PiMultiThreadBenchmark,5,96.780,142.471,132.535,17.886,141.062,142.471,96.780,132.535
none_gc,2,[OK],montecarlo.PiMultiThreadBenchmark,5,99.312,169.676,136.551,25.769,126.441,169.676,99.312,136.551
none_gc,3,[OK],montecarlo.PiMultiThreadBenchmark,5,97.117,121.307,104.570,9.194,99.298,121.307,97.117,104.570
none_gc,4,[OK],montecarlo.PiMultiThreadBenchmark,5,86.592,103.672,97.044,5.897,96.787,103.672,86.592,97.044
none_gc,5,[OK],montecarlo.PiMultiThreadBenchmark,5,94.753,98.626,97.352,1.439,98.044,98.626,94.753,97.352
none_gc,6,[OK],montecarlo.PiMultiThreadBenchmark,5,99.357,106.391,102.569,2.845,101.998,106.391,99.357,102.569
none_gc,7,[OK],montecarlo.PiMultiThreadBenchmark,5,100.699,102.835,101.624,0.776,101.334,102.835,100.699,101.624
none_gc,8,[OK],montecarlo.PiMultiThreadBenchmark,5,114.198,115.964,115.164,0.642,115.379,115.964,114.198,115.164
none_gc,9,[OK],montecarlo.PiMultiThreadBenchmark,5,106.801,112.921,111.207,2.230,112.226,112.921,106.801,111.207
none_gc,10,[OK],montecarlo.PiMultiThreadBenchmark,5,104.954,111.452,108.442,2.100,108.310,111.452,104.954,108.442
none_gc,11,[OK],montecarlo.PiMultiThreadBenchmark,5,107.958,111.576,109.360,1.264,108.869,111.576,107.958,109.360
none_gc,12,[OK],montecarlo.PiMultiThreadBenchmark,5,106.462,112.163,109.405,2.420,109.950,112.163,106.462,109.405
none_gc,13,[OK],montecarlo.PiMultiThreadBenchmark,5,105.244,109.428,107.785,1.821,109.070,109.428,105.244,107.785
none_gc,14,[OK],montecarlo.PiMultiThreadBenchmark,5,108.229,112.288,110.185,1.421,110.161,112.288,108.229,110.185
none_gc,15,[OK],montecarlo.PiMultiThreadBenchmark,5,106.437,111.081,108.815,1.942,108.542,111.081,106.437,108.815
none_gc,16,[OK],montecarlo.PiMultiThreadBenchmark,5,109.237,111.266,109.886,0.752,109.540,111.266,109.237,109.886
none_gc,17,[OK],montecarlo.PiMultiThreadBenchmark,5,110.336,112.611,111.654,0.817,111.995,112.611,110.336,111.654
none_gc,18,[OK],montecarlo.PiMultiThreadBenchmark,5,110.250,112.529,111.338,0.903,110.948,112.529,110.250,111.338
none_gc,19,[OK],montecarlo.PiMultiThreadBenchmark,5,108.004,112.176,110.475,1.493,111.212,112.176,108.004,110.475
none_gc,20,[OK],montecarlo.PiMultiThreadBenchmark,5,110.710,113.093,112.009,0.807,112.254,113.093,110.710,112.009
none_gc,21,[OK],montecarlo.PiMultiThreadBenchmark,5,109.889,113.193,111.535,1.343,111.184,113.193,109.889,111.535
none_gc,22,[OK],montecarlo.PiMultiThreadBenchmark,5,109.742,114.463,111.284,1.704,111.088,114.463,109.742,111.284
none_gc,23,[OK],montecarlo.PiMultiThreadBenchmark,5,108.792,111.333,110.097,0.923,109.745,111.333,108.792,110.097
none_gc,24,[OK],montecarlo.PiMultiThreadBenchmark,5,109.625,112.897,111.428,1.183,111.209,112.897,109.625,111.428
none_gc,25,[OK],montecarlo.PiMultiThreadBenchmark,5,110.043,113.966,112.135,1.251,112.120,113.966,110.043,112.135
none_gc,26,[OK],montecarlo.PiMultiThreadBenchmark,5,111.424,113.909,112.731,0.997,112.634,113.909,111.424,112.731
none_gc,27,[OK],montecarlo.PiMultiThreadBenchmark,5,109.335,113.494,111.291,1.604,111.131,113.494,109.335,111.291
none_gc,28,[OK],montecarlo.PiMultiThreadBenchmark,5,108.914,112.346,111.437,1.285,111.832,112.346,108.914,111.437
none_gc,29,[OK],montecarlo.PiMultiThreadBenchmark,5,111.018,113.770,112.173,0.961,112.268,113.770,111.018,112.173
none_gc,30,[OK],montecarlo.PiMultiThreadBenchmark,5,110.486,112.321,111.525,0.601,111.606,112.321,110.486,111.525
none_gc,31,[OK],montecarlo.PiMultiThreadBenchmark,5,111.937,113.515,113.022,0.567,113.220,113.515,111.937,113.022
none_gc,32,[OK],montecarlo.PiMultiThreadBenchmark,5,110.917,113.612,112.299,1.153,112.703,113.612,110.917,112.299
